mindate,maxdate,name,datacoverage,id
1994-03-19,1996-05-28,Average cloudiness midnight to midnight from 30-second ceilometer data,1.0,ACMC
1965-01-01,2005-12-31,Average cloudiness midnight to midnight from manual observations,1.0,ACMH
1994-02-01,1996-05-28,Average cloudiness sunrise to sunset from 30-second ceilometer data,1.0,ACSC
1965-01-01,2005-12-31,Average cloudiness sunrise to sunset from manual observations,1.0,ACSH
1991-06-05,2022-06-15,Base Data,0.95,ALL
2010-01-01,2010-01-01,Long-term averages of annual cooling degree days with base 45F,1.0,ANN-CLDD-BASE45
2010-01-01,2010-01-01,Long-term averages of annual cooling degree days with base 50F,1.0,ANN-CLDD-BASE50
2010-01-01,2010-01-01,Long-term averages of annual cooling degree days with base 55F,1.0,ANN-CLDD-BASE55
2010-01-01,2010-01-01,Long-term averages of annual cooling degree days with base 57F,1.0,ANN-CLDD-BASE57
2010-01-01,2010-01-01,Long-term averages of annual cooling degree days with base 60F,1.0,ANN-CLDD-BASE60
2010-01-01,2010-01-01,Long-term averages of annual cooling degree days with base 70F,1.0,ANN-CLDD-BASE70
2010-01-01,2010-01-01,Long-term averages of annual cooling degree days with base 72F,1.0,ANN-CLDD-BASE72
2010-01-01,2010-01-01,Long-term averages of annual cooling degree days with base 65F,1.0,ANN-CLDD-NORMAL
2010-01-01,2010-01-01,Long-term averages of annual diurnal temperature range,1.0,ANN-DUTR-NORMAL
2010-01-01,2010-01-01,Long-term averages of annual growing degree days with base 40F,1.0,ANN-GRDD-BASE40
2010-01-01,2010-01-01,Long-term averages of annual growing degree days with base 45F,1.0,ANN-GRDD-BASE45
2010-01-01,2010-01-01,Long-term averages of annual growing degree days with base 50F,1.0,ANN-GRDD-BASE50
2010-01-01,2010-01-01,Long-term averages of annual growing degree days with base 55F,1.0,ANN-GRDD-BASE55
2010-01-01,2010-01-01,Long-term averages of annual growing degree days with base 57F,1.0,ANN-GRDD-BASE57
2010-01-01,2010-01-01,Long-term averages of annual growing degree days with base 60F,1.0,ANN-GRDD-BASE60
2010-01-01,2010-01-01,Long-term averages of annual growing degree days with base 65F,1.0,ANN-GRDD-BASE65
2010-01-01,2010-01-01,Long-term averages of annual growing degree days with base 70F,1.0,ANN-GRDD-BASE70
2010-01-01,2010-01-01,Long-term averages of annual growing degree days with base 72F,1.0,ANN-GRDD-BASE72
2010-01-01,2010-01-01,Long-term averages of annual growing degree days with truncated bases 48F and 86F,1.0,ANN-GRDD-TB4886
2010-01-01,2010-01-01,Long-term averages of annual growing degree days with truncated bases 50F and 86F,1.0,ANN-GRDD-TB5086
2010-01-01,2010-01-01,Long-term averages of annual heating degree days with base 40F,1.0,ANN-HTDD-BASE40
2010-01-01,2010-01-01,Long-term averages of annual heating degree days with base 45F,1.0,ANN-HTDD-BASE45
2010-01-01,2010-01-01,Long-term averages of annual heating degree days with base 50F,1.0,ANN-HTDD-BASE50
2010-01-01,2010-01-01,Long-term averages of annual heating degree days with base 55F,1.0,ANN-HTDD-BASE55
2010-01-01,2010-01-01,Long-term averages of annual heating degree days with base 57F,1.0,ANN-HTDD-BASE57
